臺灣詞,,,大陸詞,,,差異別
世界大學運動會,129823,128056,大運會,129222,123387,1
世界展望會,123763,123026,世界宣明會,123797,123025,1
乾燥花,1535,95098,乾花,111095,12018,1
亞佛加厥定律,127096,123064,阿伏加德羅定律,127155,125019,1
人肉盾牌,1933,80954,人體盾牌,129376,123166,1
人工智慧,1895,58017,人工智能,1894,80351,1
代理伺服器,124043,124558,代理服務器,124119,124559,1
仲介費,121887,115130,中介費,122339,116127,1
保證價格,122448,120939,保護價,81133,14059,1
光碟機,4104,59773,光盤驅動器,4111,81317,1
光碟燒錄機,4103,680,光盤刻錄機,4110,748,1
加護病房,6024,59441,監護病房,30551,85378,1
區域網路,6483,62012,局域網絡,13899,81496,1
十億分點,127129,124193,十億分率,127189,124192,1
原子筆,6899,61065,圓珠筆,9446,79745,1
反聖嬰,123680,123882,拉尼娜,123730,125247,1
反聖嬰現象,7095,80318,反厄爾尼諾現象,110778,15203,1
周邊設備,8222,95088,外圍設備,68830,6540,1
品質管制,8307,60848,質管,95652,120035,1
唯讀記憶體,8560,61353,只讀存儲器,7443,79820,1
啟明學校,20626,111327,盲人學校,129320,129781,1
國民外交,9294,61360,民間外交,24571,79755,1
國民所得,9301,61364,國民收入,9296,79734,1
園遊會,9435,62732,遊園會,43012,81106,1
在職訓練,9741,59973,崗位培訓,14225,81219,1
基改生物,123901,127423,遺傳修飾生物體,123968,130783,1
塑膠袋,10126,114824,塑料袋,10121,114825,1
太空人,11320,64615,宇航員,12585,80715,1
太空飛行員,120720,17837,航天員,36641,80183,1
子母畫面電視,12329,63824,雙畫面電視,45934,81530,1
家家酒,12953,65341,過家家,43162,81124,1
寬頻電話,122068,115502,網絡電話,34028,84353,1
少年觀護所,49395,81728,少年犯管教所,13787,80347,1
帕拉林匹克運動會,129825,128042,殘奧會,129199,127688,1
彈道飛彈,77404,126438,彈道式導彈,110254,126649,1
影音,15566,65826,聲像,93434,116837,1
徵才會,15612,3941,招聘會,18591,5547,1
應用程式,123009,125944,應用程序,123010,125945,1
懼高,64969,4297,恐高,65237,4298,1
懼高症,17356,4028,恐高症,71372,4308,1
