序號,正體字,簡化字,音一,音二,音三,音四,音五,音六,統讀
1,阿,阿,ā,ē,,,,,
2,挨,挨,āi,ái,,,,,
3,癌,癌,ái,,,,,,統讀
4,靄,霭,ǎi,,,,,,統讀
5,藹,蔼,ǎi,,,,,,統讀
6,隘,隘,ài,,,,,,統讀
7,諳,谙,ān,,,,,,統讀
8,垵,埯,ǎn,,,,,,統讀
9,昂,昂,ánɡ,,,,,,統讀
10,凹,凹,āo,,,,,,統讀
11,拗,拗,ào,niù,ǎo,,,,
12,坳,坳,ào,,,,,,統讀
13,拔,拔,bá,,,,,,統讀
14,把,把,bǎ,bà,,,,,
15,白,白,bái,,,,,,統讀
16,膀,膀,bǎnɡ,pánɡ,pānɡ,bànɡ,,,
17,蚌,蚌,bànɡ,bènɡ,,,,,
18,傍,傍,bànɡ,,,,,,統讀
19,磅,磅,bànɡ,pánɡ,,,,,
20,齙,龅,bāo,,,,,,統讀
21,胞,胞,bāo,,,,,,統讀
22,薄,薄,báo,bó,bò,,,,
23,堡,堡,bǎo,bǔ,pù,,,,
24,暴,暴,bào,pù,,,,,
25,爆,爆,bào,,,,,,統讀
26,焙,焙,bèi,,,,,,統讀
27,憊,惫,bèi,,,,,,統讀
28,背,背,bèi,bēi,,,,,
29,鄙,鄙,bǐ,,,,,,統讀
30,俾,俾,bǐ,,,,,,統讀
31,筆,笔,bǐ,,,,,,統讀
32,比,比,bǐ,,,,,,統讀
33,臂,臂,bì,bei,,,,,
34,庇,庇,bì,,,,,,統讀
35,髀,髀,bì,,,,,,統讀
36,避,避,bì,,,,,,統讀
37,辟,辟,bì,pì,,,,,
38,裨,裨,bì,pí,,,,,
39,婢,婢,bì,,,,,,統讀
40,痹,痹,bì,,,,,,統讀
41,壁,壁,bì,,,,,,統讀
42,蝙,蝙,biān,,,,,,統讀
43,遍,遍,biàn,,,,,,統讀
44,驃,骠,biāo,piào,,,,,
45,儐,傧,bīn,,,,,,統讀
46,繽,缤,bīn,,,,,,統讀
47,瀕,濒,bīn,,,,,,統讀
48,髕,髌,bīn,,,,,,統讀
49,屏,屏,bǐn,pínɡ,bīnɡ,,,,
50,柄,柄,bǐnɡ,,,,,,統讀
51,波,波,bō,,,,,,統讀
52,播,播,bō,,,,,,統讀
53,菠,菠,bō,,,,,,統讀
54,剝,剥,bō,bāo,,,,,
55,泊,泊,bó,pō,,,,,
56,帛,帛,bó,,,,,,統讀
57,勃,勃,bó,,,,,,統讀
58,鈸,钹,bó,,,,,,統讀
59,伯,伯,bó,bǎi,,,,,
60,箔,箔,bó,,,,,,統讀
61,簸,簸,bǒ,bò,,,,,
62,膊,膊,bo,bó,,,,,
63,蔔,卜,bo,,,,,,
,卜,卜,bǔ,,,,,,
64,醭,醭,bú,,,,,,統讀
65,哺,哺,bǔ,,,,,,統讀
66,捕,捕,bǔ,,,,,,統讀
67,鵏,鵏,bǔ,,,,,,統讀
68,埠,埠,bù,,,,,,統讀
69,殘,残,cán,,,,,,統讀
70,慚,惭,cán,,,,,,統讀
71,燦,灿,càn,,,,,,統讀
72,藏,藏,cánɡ,zànɡ,,,,,
73,糙,糙,cāo,,,,,,統讀
74,嘈,嘈,cáo,,,,,,統讀
75,螬,螬,cáo,,,,,,統讀
76,廁,厕,cè,,,,,,統讀
77,岑,岑,cén,,,,,,統讀
78,差,差,chā,chà,cī,chāi,cūo,,
79,猹,猹,chá,,,,,,統讀
80,搽,搽,chá,,,,,,統讀
81,闡,阐,chǎn,,,,,,統讀
82,羼,羼,chàn,,,,,,統讀
83,顫,颤,chàn,zhàn,,,,,
84,韂,韂,chàn,,,,,,統讀
85,倀,伥,chānɡ,,,,,,統讀
86,場,场,chǎnɡ,chánɡ,chanɡ,,,,
87,鈔,钞,chāo,,,,,,統讀
88,巢,巢,cháo,,,,,,統讀
89,嘲,嘲,cháo,zhāo,,,,,
90,耖,耖,chào,,,,,,統讀
91,車,车,chē,jū,,,,,
92,晨,晨,chén,,,,,,統讀
93,稱,称,chèn,chēnɡ,chènɡ,,,,
94,撐,撑,chēnɡ,,,,,,統讀
95,乘,乘,chénɡ,shènɡ,,,,,
96,橙,橙,chénɡ,,,,,,統讀
97,懲,惩,chénɡ,,,,,,統讀
98,澄,澄,chénɡ,dènɡ,,,,,
99,痴,痴,chī,,,,,,統讀
100,吃,吃,chī,,,,,,統讀
101,弛,弛,chí,,,,,,統讀
102,褫,褫,chǐ,,,,,,統讀
103,尺,尺,chǐ,chě,,,,,
104,豉,豉,chǐ,,,,,,統讀
105,侈,侈,chǐ,,,,,,統讀
106,熾,炽,chì,,,,,,統讀
107,舂,舂,chōnɡ,,,,,,統讀
108,衝,冲,chònɡ,chōnɡ,,,,,
109,臭,臭,chòu,xiù,,,,,
110,儲,储,chǔ,,,,,,統讀
111,處,处,chǔ,chù,,,,,
112,畜,畜,chù,xù,,,,,
113,觸,触,chù,,,,,,統讀
114,搐,搐,chù,,,,,,統讀
115,絀,绌,chù,,,,,,統讀
116,黜,黜,chù,,,,,,統讀
117,闖,闯,chuǎnɡ,,,,,,統讀
118,創,创,chuànɡ,chuānɡ,,,,,
119,綽,绰,chuò,chuo,,,,,
120,疵,疵,cī,,,,,,統讀
121,雌,雌,cí,,,,,,統讀
122,賜,赐,cì,,,,,,統讀
123,伺,伺,cì,sì,,,,,
124,樅,枞,cōnɡ,zōnɡ,,,,,
125,從,从,cónɡ,,,,,,統讀
126,叢,丛,cónɡ,,,,,,統讀
127,攢,攒,cuán,zǎn,,,,,
128,脆,脆,cuì,,,,,,統讀
129,撮,撮,cuō,zuǒ,,,,,
130,措,措,cuò,,,,,,統讀
131,搭,搭,dā,,,,,,統讀
132,答,答,dá,dā,,,,,
133,打,打,dá,dǎ,,,,,
134,大,大,dà,dài,,,,,
135,呆,呆,dāi,,,,,,統讀
136,傣,傣,dǎi,,,,,,統讀
137,逮,逮,dài,dǎi,,,,,
138,當,当,dānɡ,dànɡ,,,,,
139,檔,档,dànɡ,,,,,,統讀
140,蹈,蹈,dǎo,,,,,,統讀
141,導,导,dǎo,,,,,,統讀
142,倒,倒,dǎo,dào,,,,,
143,悼,悼,dào,,,,,,統讀
144,纛,纛,dào,,,,,,統讀
145,凳,凳,dènɡ,,,,,,統讀
146,羝,羝,dī,,,,,,統讀
147,氐,氐,dī,,,,,,
148,堤,堤,dī,,,,,,統讀
149,提,提,dī,tí,,,,,
150,的,的,dí,dì,de,,,,
151,抵,抵,dǐ,,,,,,統讀
152,蒂,蒂,dì,,,,,,統讀
153,締,缔,dì,,,,,,統讀
154,諦,谛,dì,,,,,,統讀
155,點,点,dian,diǎn,,,,,
156,跌,跌,diē,,,,,,統讀
157,蝶,蝶,dié,,,,,,統讀
158,訂,订,dìnɡ,,,,,,統讀
159,都,都,dōu,dū,,,,,
160,堆,堆,duī,,,,,,統讀
161,噸,吨,dūn,,,,,,統讀
162,盾,盾,dùn,,,,,,統讀
163,多,多,duō,,,,,,統讀
164,咄,咄,duō,,,,,,統讀
165,掇,掇,duō,duo,,,,,
166,裰,裰,duō,,,,,,統讀
167,踱,踱,duó,,,,,,統讀
168,度,度,duó,dù,,,,,
169,婀,婀,ē,,,,,,統讀
170,伐,伐,fá,,,,,,統讀
171,閥,阀,fá,,,,,,統讀
172,砝,砝,fǎ,,,,,,統讀
173,法,法,fǎ,,,,,,統讀
174,發,发,fā,,,,,,
175,髮,发,fà,,,,,,
176,帆,帆,fān,,,,,,統讀
177,藩,藩,fān,,,,,,統讀
178,梵,梵,fàn,,,,,,統讀
